"xseconds,"rate"
"5:","174"
"10:","121"
"15:","101"
"20:","106"
"25:","103"
"30:","100"
"35:","106"
"40:","101"
"45:","107"
"50:","104"
"55:","99"
"60:","106"
"65:","96"
"70:","100"
"75:","95"
"80:","95"
"85:","98"
"90:","108"
"95:","106"
"100:","108"
"105:","108"
"110:","106"
"115:","108"
"120:","108"
"125:","98"
"130:","100"
"135:","103"
"140:","108"
"145:","108"
"150:","108"
"155:","108"
"160:","109"
"165:","108"
"170:","105"
"175:","109"
"180:","108"
"185:","102"
"190:","109"
"195:","108"
"200:","108"
"205:","108"
"210:","108"
"215:","109"
"220:","109"
"225:","109"
"230:","100"
"235:","108"
"240:","110"
