"xseconds,"rate"
"5:","103"
"10:","83"
"15:","83"
"20:","83"
"25:","85"
"30:","86"
"35:","79"
"40:","84"
"45:","86"
"50:","84"
"55:","84"
"60:","84"
"65:","121"
"70:","175"
"75:","171"
"80:","177"
"85:","173"
"90:","175"
"95:","175"
"100:","173"
"105:","176"
"110:","174"
"115:","170"
"120:","174"
"125:","170"
"130:","168"
"135:","172"
"140:","172"
"145:","173"
"150:","173"
"155:","170"
"160:","165"
"165:","174"
"170:","173"
"175:","171"
"180:","171"
"185:","172"
"190:","168"
"195:","174"
"200:","174"
"205:","166"
"210:","172"
"215:","172"
"220:","177"
"225:","168"
"230:","170"
"235:","175"
"240:","172"
