"xseconds,"rate"
"5:","114"
"10:","95"
"15:","93"
"20:","94"
"25:","94"
"30:","93"
"35:","94"
"40:","92"
"45:","93"
"50:","92"
"55:","91"
"60:","88"
"65:","92"
"70:","91"
"75:","92"
"80:","94"
"85:","92"
"90:","94"
"95:","93"
"100:","92"
"105:","94"
"110:","92"
"115:","95"
"120:","90"
"125:","94"
"130:","91"
"135:","92"
"140:","94"
"145:","92"
"150:","93"
"155:","93"
"160:","88"
"165:","90"
"170:","92"
"175:","92"
"180:","90"
"185:","95"
"190:","92"
"195:","93"
"200:","93"
"205:","91"
"210:","92"
"215:","92"
"220:","93"
"225:","90"
"230:","94"
"235:","93"
"240:","87"
